,affective_evaluation_and_mood_congruent_judgment_biases,attention_salience_and_signal_detection_biases,evidence_search_hypothesis_testing_and_belief_updating_biases,interface_choice_architecture_automation_and_warning_response_biases,memory_familiarity_and_source_monitoring_biases,privacy_disclosure_and_self_presentation_biases,risk_probability_uncertainty_and_outcome_valuation_biases,self_assessment_attribution_and_metacognitive_biases,social_influence_authority_affiliation_and_identity_biases,temporal_choice_default_action_and_commitment_biases,trust_source_credibility_and_truth_judgment_biases
affective_evaluation_and_mood_congruent_judgment_biases,1.0,0.7853249130189252,0.7587019318267622,0.7656225082486928,0.7499751543438798,0.587504272671485,0.791229627724315,0.18679908641025977,0.6557440055208925,0.7609691858269295,0.5739309912436629
attention_salience_and_signal_detection_biases,0.7853249130189252,1.0000000000000002,0.8423921093892524,0.861176076715767,0.8639872819332156,0.6403492285585594,0.8880779653091767,0.2079150202633805,0.6916184270482523,0.8620944171265792,0.6728388795138269
evidence_search_hypothesis_testing_and_belief_updating_biases,0.7587019318267622,0.8423921093892524,1.0000000000000004,0.8288415743288153,0.8701507636778034,0.7060497688517924,0.881468416913056,0.45810473534887847,0.5916415284187652,0.7343544853656012,0.6719373676458422
interface_choice_architecture_automation_and_warning_response_biases,0.7656225082486928,0.861176076715767,0.8288415743288153,0.9999999999999999,0.892907090320818,0.7824380577732091,0.8783647254503771,0.3027572203810618,0.6694600194001852,0.8502381453905095,0.7554174789856327
memory_familiarity_and_source_monitoring_biases,0.7499751543438798,0.8639872819332156,0.8701507636778034,0.892907090320818,1.0,0.737055104407559,0.9021728171760508,0.35590938442930997,0.6930126735224462,0.7890058415519627,0.7986603350677084
privacy_disclosure_and_self_presentation_biases,0.587504272671485,0.6403492285585594,0.7060497688517924,0.7824380577732091,0.737055104407559,1.0,0.7325752459374144,0.4799155840490844,0.504094247827187,0.6143955671315543,0.6651724928766294
risk_probability_uncertainty_and_outcome_valuation_biases,0.791229627724315,0.8880779653091767,0.881468416913056,0.8783647254503771,0.9021728171760508,0.7325752459374144,0.9999999999999999,0.3631454169290063,0.6743757247081646,0.7896599624090945,0.7313077756105593
self_assessment_attribution_and_metacognitive_biases,0.18679908641025977,0.2079150202633805,0.45810473534887847,0.3027572203810618,0.35590938442930997,0.4799155840490844,0.3631454169290063,1.0000000000000002,-0.02989269080051467,0.11569336213260208,0.22767273848942376
social_influence_authority_affiliation_and_identity_biases,0.6557440055208925,0.6916184270482523,0.5916415284187652,0.6694600194001852,0.6930126735224462,0.504094247827187,0.6743757247081646,-0.02989269080051467,0.9999999999999998,0.7033037049784057,0.7906978022085829
temporal_choice_default_action_and_commitment_biases,0.7609691858269295,0.8620944171265792,0.7343544853656012,0.8502381453905095,0.7890058415519627,0.6143955671315543,0.7896599624090945,0.11569336213260208,0.7033037049784057,0.9999999999999998,0.653581415094364
trust_source_credibility_and_truth_judgment_biases,0.5739309912436629,0.6728388795138269,0.6719373676458422,0.7554174789856327,0.7986603350677084,0.6651724928766294,0.7313077756105593,0.22767273848942376,0.7906978022085829,0.653581415094364,1.0000000000000002
