emotion,affective_evaluation_and_mood_congruent_judgment_biases,attention_salience_and_signal_detection_biases,evidence_search_hypothesis_testing_and_belief_updating_biases,interface_choice_architecture_automation_and_warning_response_biases,memory_familiarity_and_source_monitoring_biases,privacy_disclosure_and_self_presentation_biases,risk_probability_uncertainty_and_outcome_valuation_biases,self_assessment_attribution_and_metacognitive_biases,social_influence_authority_affiliation_and_identity_biases,temporal_choice_default_action_and_commitment_biases,trust_source_credibility_and_truth_judgment_biases
abandoned,780,420,420,420,420,680,680,420,780,680,680
adoring,850,720,780,680,680,780,680,420,850,450,850
affectionate,780,450,420,380,420,740,450,320,680,320,680
afraid,850,650,450,650,450,-650,650,-650,850,650,650
aggrieved,850,680,780,680,680,740,680,680,680,680,450
agitated,820,780,680,780,680,680,680,680,680,680,680
alarmed,850,650,650,450,650,-650,780,-450,780,650,650
alienated,680,450,420,680,350,680,420,420,-450,450,-450
amazed,780,650,450,450,450,680,650,450,680,420,680
amorous,850,780,680,680,650,850,680,680,780,680,780
amused,650,450,350,350,350,420,450,350,350,-250,450
angry,850,650,650,650,450,650,650,780,-450,450,-450
anguished,875,850,780,820,680,780,780,-650,780,780,680
annoyed,680,650,450,680,450,450,450,450,-350,450,-350
antagonistic,850,450,680,420,-350,420,650,780,-650,-450,-650
anxious,850,650,450,650,450,-450,650,-450,780,650,450
apprehensive,780,450,-350,-450,-350,-650,-450,-450,650,450,-450
ardent,820,450,680,680,420,680,680,780,780,680,680
aroused,780,650,650,650,450,680,650,650,650,650,650
ashamed,680,450,-350,420,-350,-650,450,-650,780,450,450
astonished,650,650,-350,450,450,680,450,-450,680,420,650
attached,720,420,620,420,680,680,450,420,820,680,780
awestruck,450,450,-450,-450,-350,-450,-350,-450,650,-450,450
baffled,-350,650,-350,680,450,420,450,-650,680,680,450
bashful,420,420,-250,350,180,-650,240,-450,680,380,380
bereaved,850,780,650,680,680,680,450,-450,680,680,680
betrayed,850,680,450,-450,450,-650,680,450,-650,420,-750
bitter,820,450,450,420,450,420,450,420,-450,450,-450
blissful,850,680,680,680,680,780,780,780,680,650,780
blue,780,-350,-450,-250,-350,-350,-350,-450,420,450,-450
buoyant,780,450,450,420,420,680,680,680,450,450,680
calm,-650,-450,-450,-350,-450,-450,-450,-450,-450,-450,-450
captivated,820,780,680,680,680,780,680,450,780,680,780
caring,650,420,240,-350,420,450,420,-350,650,320,450
cheerful,850,450,450,450,450,650,650,650,450,450,650
cherished,680,-350,340,-250,420,420,420,420,420,-350,420
claustrophobic,780,780,680,780,420,-450,680,420,-450,680,680
comfortable,450,420,350,450,420,680,450,450,420,450,450
comforted,650,420,380,420,420,680,420,420,420,420,420
compassionate,680,450,215,180,320,680,320,-250,650,180,450
concerned,450,-350,-250,-350,-250,-450,-350,-350,350,-350,-350
conflicted,-450,450,-350,-350,-350,-350,425,-450,450,450,-350
confused,680,650,450,650,450,450,650,-650,780,680,650
contemptuous,780,-450,680,420,-350,420,450,780,-650,-450,-650
content,450,150,280,420,350,320,350,180,320,320,450
cornered,840,780,780,780,680,680,780,680,780,850,680
crushed,850,780,450,780,680,450,450,-750,680,780,450
curious,-450,-450,-450,-450,-350,680,-350,-450,-350,-450,-350
defensive,780,650,680,450,450,-650,450,780,680,680,-450
defiant,780,450,680,420,420,680,680,780,-750,-450,-650
dejected,780,450,-350,680,-350,420,450,-650,420,680,-350
delighted,850,650,680,650,650,720,680,680,680,450,680
demeaned,820,450,680,680,450,680,420,680,680,680,450
demoralized,850,680,680,780,680,680,680,-450,680,780,650
dependent,780,420,420,780,420,680,420,-450,820,680,680
desolate,850,680,-350,680,420,680,420,-650,680,680,420
despairing,850,780,450,780,450,780,680,-650,680,780,650
desperate,875,850,820,850,780,875,850,680,850,850,850
despondent,850,680,-350,780,450,680,450,-650,450,680,450
devastated,850,850,450,820,680,680,680,-650,680,680,680
disappointed,450,280,-250,-250,-250,240,320,-350,-350,420,-350
discomforted,680,420,-350,-250,-350,-450,420,-450,450,450,-350
discontented,780,420,-250,-250,240,340,420,-350,-350,420,-450
discouraged,780,450,420,680,320,420,420,-450,420,680,320
disgusted,780,-450,-350,-350,-450,-650,-450,-350,-450,-450,-450
disheartened,780,450,420,680,320,420,420,-450,420,680,320
disillusioned,780,680,450,680,-350,680,420,-450,-650,680,-650
dismayed,780,650,420,420,420,-350,450,-450,420,420,-450
distressed,850,780,780,780,680,680,750,-450,780,780,680
distrustful,850,-650,-650,-750,-650,-850,-650,-650,-850,-650,-850
disturbed,820,680,450,450,650,-450,680,-450,680,680,450
doubtful,-450,-450,-650,-650,-650,-650,-450,-750,-450,-450,-750
dreadful,875,780,680,680,680,-650,680,-650,780,780,680
eager,780,450,650,680,450,780,680,650,680,650,650
ecstatic,920,780,780,780,680,850,850,850,780,780,850
elated,850,650,720,680,680,780,780,780,680,650,780
embarrassed,650,450,420,450,-350,680,450,-450,780,450,450
empathetic,780,450,420,240,450,680,450,-350,780,350,680
empty,-450,450,-150,450,150,215,-150,-150,350,450,-150
enchanted,850,780,780,780,680,820,780,680,820,680,850
encouraged,680,-250,350,320,320,450,450,450,420,-350,350
energized,650,-350,350,450,350,450,450,650,350,-350,450
enraged,920,780,850,850,650,850,780,850,-450,750,780
enthralled,850,850,780,780,740,840,780,780,820,780,840
enthusiastic,850,450,450,650,450,680,650,720,680,450,680
envious,740,450,420,420,420,680,680,450,650,450,450
euphoric,920,780,780,780,780,850,850,850,780,780,850
exasperated,780,820,680,820,680,680,680,680,450,780,680
excited,850,650,650,650,650,780,780,750,680,650,650
excluded,780,650,680,420,450,780,680,420,850,680,680
exhilarated,850,650,740,680,680,820,780,850,680,650,780
exposed,820,680,680,680,450,680,680,-450,780,680,-450
fearful,850,650,450,650,450,-650,650,-650,850,450,650
fond,680,380,380,380,420,420,420,280,420,320,680
forgiving,650,420,420,420,420,420,450,320,450,-350,680
forlorn,850,680,420,680,420,680,420,-450,680,680,450
fragile,840,680,680,680,680,680,680,-450,780,780,680
frightened,850,650,650,680,650,-650,650,-650,820,680,680
frustrated,820,780,680,780,450,680,650,650,450,780,650
fulfilled,450,-350,180,280,215,280,350,320,-250,-350,320
furious,850,780,780,780,650,820,650,850,-650,650,650
glad,780,450,450,450,450,450,450,450,420,350,450
gloomy,850,-350,-450,-350,-450,-350,-450,-450,-350,450,-450
grateful,450,-250,280,320,350,450,-350,-350,450,-450,450
grief-stricken,850,850,450,780,680,680,450,-450,650,680,650
guarded,-650,-450,-450,-450,-450,-750,-450,-450,-650,-450,-650
guilty,650,-350,-450,-350,-350,-450,-450,-450,680,-450,-350
happy,850,450,650,650,650,680,650,650,650,450,650
hateful,875,780,850,680,680,780,680,780,680,680,680
haunted,840,680,420,420,680,-650,680,-650,680,680,-450
heartbroken,850,680,450,680,420,680,450,-450,650,650,450
helpless,850,680,680,820,680,680,680,-650,820,780,780
hesitant,-350,-450,-350,-450,-350,-650,-350,-650,-350,420,-450
homesick,680,420,420,420,420,420,420,-240,680,420,420
hopeful,780,450,450,450,450,680,680,450,450,350,650
hopeless,850,680,450,780,450,780,650,-650,450,850,650
horrified,875,850,680,-650,650,-750,850,-650,780,-650,680
hostile,850,650,680,680,450,450,650,780,-650,450,-650
humiliated,850,680,680,680,420,680,680,-450,780,680,450
hurt,820,450,420,420,420,420,450,-450,680,450,-450
hysterical,985,850,875,875,875,920,875,850,875,850,875
impatient,780,780,780,850,680,780,780,680,680,850,780
indignant,820,450,780,450,450,420,680,780,-650,450,-450
infatuated,850,850,780,680,680,850,780,680,850,780,850
insecure,820,680,680,680,450,680,680,-450,820,680,680
